Designator,Footprint,Quantity,Value,LCSC Part #
D1,0805,1,LED GREEN,C2297
"D10, D11, D12, D4",0805,4,LED WHITE,C34499
D2,0805,1,LED ORANGE,C2296
D3,0603,1,LED RED,C2286
"R1, R11, R12, R13, R2, R3, R4",0805,7,2k2,
"R10, R5, R6, R7, R8, R9",0805,6,4k7,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,LM75B,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,M24C02-FMN,
U4,XIAO-RP2040-DIP,1,XIAO-RP2040-DIP,
